Date,Day,Usage
09/12/2021,THU,1570643
08/12/2021,WED,1552574
07/12/2021,TUE,1505972
06/12/2021,MON,1480866
05/12/2021,SUN,839582
04/12/2021,SAT,1175049
03/12/2021,FRI,1553993
02/12/2021,THU,1583872
01/12/2021,WED,1564798
30/11/2021,TUE,1560317
29/11/2021,MON,1489954
28/11/2021,SUN,875712
27/11/2021,SAT,1117540
26/11/2021,FRI,1512746
25/11/2021,THU,1622410
24/11/2021,WED,1586761
23/11/2021,TUE,1589231
22/11/2021,MON,1529245
21/11/2021,SUN,890959
20/11/2021,SAT,1190119
19/11/2021,FRI,1603656
18/11/2021,THU,1611845
17/11/2021,WED,1601426
16/11/2021,TUE,1585681
15/11/2021,MON,1516056
14/11/2021,SUN,868559
13/11/2021,SAT,1190754
12/11/2021,FRI,1588516
11/11/2021,THU,1602168
10/11/2021,WED,1559569
09/11/2021,TUE,1565726
08/11/2021,MON,1502762
07/11/2021,SUN,879635
06/11/2021,SAT,1165994
05/11/2021,FRI,1548674
04/11/2021,THU,1548217
03/11/2021,WED,1541628
02/11/2021,TUE,1543997
01/11/2021,MON,1460766
31/10/2021,SUN,833890
30/10/2021,SAT,1152914
29/10/2021,FRI,1340167
28/10/2021,THU,1369691
27/10/2021,WED,1348811
26/10/2021,TUE,1341833
25/10/2021,MON,1281250
24/10/2021,SUN,870478
23/10/2021,SAT,1139689
22/10/2021,FRI,1491170
21/10/2021,THU,1525007
20/10/2021,WED,1510191
19/10/2021,TUE,1506029
18/10/2021,MON,1461268
17/10/2021,SUN,853159
16/10/2021,SAT,1136160
15/10/2021,FRI,1561161
14/10/2021,THU,1567400
13/10/2021,WED,1547794
12/10/2021,TUE,1542905
11/10/2021,MON,1488820
10/10/2021,SUN,844058
09/10/2021,SAT,1155821
08/10/2021,FRI,1537321
07/10/2021,THU,1537597
06/10/2021,WED,1543401
05/10/2021,TUE,1509066
04/10/2021,MON,1478397
03/10/2021,SUN,881316
02/10/2021,SAT,1053870
01/10/2021,FRI,1525339
30/09/2021,THU,1554515
29/09/2021,WED,1562901
28/09/2021,TUE,1524757
27/09/2021,MON,1466465
26/09/2021,SUN,875612
25/09/2021,SAT,1144886
24/09/2021,FRI,1532883
23/09/2021,THU,1520506
22/09/2021,WED,1519003
21/09/2021,TUE,1497922
